Ticket;Nombre comun;Fecha;evento;Ciudad;Vereda;Arboles;Hectareas
903;Guayabo araza, Protium apiculata, Hacelfia floribunda, Posoqueria latifolia, Arizá;5/12/2021 0:00;Urbanizacion Siempre Verde;Medellín;Aguas Frias;10;0.02
1855;Casco de Vaca, Guamo Machete, Guayabo Común, Carbonero, Nogal Cafetero;11/09/2021 0:00;Obligación Contractual;Medellín;Altavista Central;35;0.07
126;naranja;9/03/2020 0:00;siembra de árboles;Medellín;Altavista Central;4;0.008
576;Chirlobirlo;01/29/2020 12:00:00 AM;Sembraton tejiendo caminos;Medellín;Boqueron;800;1.6
1590;Quimulá, Fruta de pava, Alcaparro Enano, Cabo de Hacha, Niguito, Drago, Chirlobirlo;01/18/2022 12:00:00 AM;Reforestación predio estadero alto de boqueron;Medellín;Boqueron;200;0.4
1152;Quimulá, Chaquiro Real, Gallinazo, Niguito, Yolombo, Drago, Chagualo, Roble;09/19/2021 12:00:00 AM;Obligación Contractual;Medellín;Boqueron;62;0.124
312;carate rojo, Chiriguaco, Cordoncillo, Sietecueros, Chachafruto, Roble;10/02/2020 0:00;SEMBRATON;Medellín;Buga Patio Bonito;30;0.06
1299;Guayacan Polvillo, Pino Colombiano Romeron;10/28/2021 12:00:00 AM;contrato 0854-2021 obligacion arbol x millon;Medellín;El Cerro;20;0.04
1665;Quimulá, Quiebra barrigo, Cedro altura, Saúco, Sauce, Cedro Negro, Chachafruto, Chirlobirlo, Aguacatillo, Roble;08/22/2021 12:00:00 AM;siembra Voluntaria;Medellín;El Cerro;1715;3.43
985;Florentino, Mollinedia, Alcaparro Enano, Navajuelo, Amarraboyo, Cedrillo, Carate Negro, Nadador, Escobo 1, Aliso, Chagualo, Aguacatillo;05/15/2021 12:00:00 AM;Siembra de árboles contrato ps No.190-CNT2103-64 de Revisoría Fiscal;Medellín;El Cerro;120;0.24
1532;Quimulá, Guayacan Amarillo, Magnolio, Sauco de Monte;12/18/2021 12:00:00 AM;Obligación Contractual;Medellín;El Llano;13;0.026
1591;Quimulá, Guayacan Amarillo;10/13/2021 12:00:00 AM;Obligación Contractual;Medellín;El Llano;40;0.08
1287;Quimulá;10/28/2021 12:00:00 AM;Obligación Contractual;Medellín;El Llano (Santa Elena);14;0.028
1280;Amarraboyo, Arrayan Eugenio, Pino Colombiano Romeron, Roble;10/02/2021 0:00;Obligación Contractual;Medellín;El Llano (Santa Elena);46;0.092
1345;Quimulá, Cedro, Guayacan Polvillo;11/24/2021 12:00:00 AM;190-AO109-10 siembra obligacion contrctual;Medellín;El Llano (Santa Elena);19;0.038
1349;Quimulá, Cedro, Guayacan Polvillo, Arrayan de Hoja Pequeña, Roble;10/24/2021 12:00:00 AM;obligación contrato 0473-2021;Medellín;El Llano (Santa Elena);66;0.132
1667;Guayacan Rosado, Quiebrabarrigo, Cochobo, Cedro, Cabo de Hacha, Arrayan copa roja, Guayabo rojo, Guamo, Guayabo, Nogal Cafetero;11/14/2021 12:00:00 AM;Obligación Contractual;Medellín;El Picacho;21;0.042
194;Roble;10/04/2020 0:00;CUMPLIMIENTO OBLIGACION CONTRATO 150-CNT2007-95;Medellín;El Placer;1;0.002
2532;Quimulá, Guayacan Amarillo, Arrayán, Chirlobirlo;04/23/2022 12:00:00 AM;SEMBRATON POR EL DIA MUNDIAL DE LA TIERRA;Medellín;El Placer;1000;2
206;Quimulá, Abutilon Rojo, Canelo de Paramo, Chaquiro Real, Navajuelo, Sauco de Monte, Cheflera Mano de Oso, Aliso, Chagualo, Roble;10/04/2020 0:00;SEMBRATON BIO +;Medellín;El Placer;10;0.02
214;Quimulá, Cheflera Mano de Oso, Cedrillo, Navajuelo, Yolombo Pequeño, Olla de Mono, Aliso, Chagualo;10/04/2020 0:00;CUMPLIMIENTO OBLIGACIÓN CONTRATO 150-CNT2007-95;Medellín;El Placer;8;0.016
215;Nigüito;10/04/2020 0:00;CUMPLIMIENTO OBLIGACION CONTRATO 150-CNT2007-95;Medellín;El Placer;1;0.002
203;Aliso;10/04/2020 0:00;SEMBRATON BIO +;Medellín;El Placer;1;0.002
964;Alcaparro Enano;6/06/2021 0:00;Sembraron La Aldea;Medellín;El Plan;200;0.4
1283;Chaquiro Real, Gallinazo, Aguacatillo;9/06/2021 0:00;Siembra El Yolombo;Medellín;El Yolombo;24;0.048
1063;Quiebrabarrigo, Alcaparro Palo Bonito, Escobo 1;07/21/2021 12:00:00 AM;siembra;Medellín;El Yolombo;30;0.06
1276;Gallinazo, Chaquiro Real;08/16/2021 12:00:00 AM;siembra 2;Medellín;El Yolombo;16;0.032
770;EUCALIPTO;02/18/2021 12:00:00 AM;Salvemos a san Sebastián de Palmitas;Medellín;La Frisola;800;1.6
577;Gualanday;12/23/2020 12:00:00 AM;Sembraton Tejiendo Caminos -La Frisola;Medellín;La Frisola;300;0.6
1830;Quimulá, Guayacán Amarillo, Quiebrabarrigo, Camargo, Sauce, Guamo Machete, Níspero, Drago, Chirlobirlo, Roble;09/28/2021 12:00:00 AM;Obligación Contractual;Medellín;La Palma;61;0.122
244;Guayacán Amarillo;11/08/2020 0:00;Cada uno un árbol;Medellín;La Playas;1;0.002
196;Guayacán Amarillo, Cedro de Altura, Guayacán de Manizalez, Arboloco, Pino Colombiano Romeron, Sauco de Monte, Nadador, Alcaparro Enano, Barcino, Carate Negro, Casco de Vaca, Catape, Escobo 1, Guamo Liso, Guayabo Comun, Limón, Mango, Ojo de Pava, Sauce, Guasco, Drago, Aliso, Aguacatillo, Nogal Cafetero;10/09/2020 0:00;Compensación Bavaria;Medellín;La Verde;1000;2
35;Coralito, Tambor;5/09/2020 0:00;Más Bosques;Medellín;Las Palmas;2;0.004
31;Mango, Búcaro, Calaba;11/10/2019 0:00;Más bosques;Medellín;Las Palmas;3;0.006
32;Guayacán Amarillo, Chirlobirlo;12/12/2019 0:00;Más bosques;Medellín;Las Palmas;2;0.004
34;Chiminango, yarumo;5/03/2020 0:00;Mas bosques;Medellín;Las Palmas;2;0.004
36;Chiminango, Cresta de gallo, Búcaro, confite, Limón mandarina, Gualanday, Chirlobirlo;6/07/2020 0:00;Más bosques;Medellín;Las Palmas;10;0.02
33;lomo de caimán, Aguacate, Calaba;03/15/2020 12:00:00 AM;Más bosques;Medellín;Las Palmas;3;0.006
2533;Quimulá, Guayacan Amarillo, Arrayán, Chirlobirlo;3/10/2022 0:00;SEMBRANDO VIDAS;Medellín;Media Luna;1000;2
213;Quimulá, Guayacán Amarillo, Caunce, Amarraboyo, Yolombo Pequeño, Olla de Mono, Cedrillo, Simplocus, Chagualon, Guamo Peludo, Sietecueros, Ojo de Pava;10/20/2020 12:00:00 AM;Brindar el apoyo al programa Bio+, involucrándose en la siembra de mínimo 10 árboles-120-CNT2007-97;Medellín;Media Luna;14;0.028
510;Quimulá, Guayacán Amarillo, Guayabo Liso, Drago, Aguacatillo;01/22/2021 12:00:00 AM;Obligación Convenio N° 040-COV2010-204;Medellín;Media Luna;55;0.11
28;EUCALIPTO;6/05/2020 0:00;CELEBRACIÓN DIA DEL MEDIO AMBIENTE;Medellín;Pajarito;350;0.7
1231;Quimulá, Tachuelo 2, Arboloco, Pategallina;10/12/2021 0:00;Obligación Contractual;Medellín;Piedras Blancas-Matasano;100;0.2
1681;Eugenio, Amarraboyo Rosado, Navajuelo, Mortiño;02/19/2022 12:00:00 AM;190–CNT2201–59;Medellín;Piedras Blancas-Matasano;276;0.552
378;Quimulá, Cedro de Altura, Arrayyan, Canelo de Paramo, Cabo de Hacha, Cacho de Venado, Cedro Negro, Cheflera, Cordoncillo, Espadero Comun, Espadero Colorado, Laurel cordia, Mano de oso, Sauco de Monte, Croton, Escobo, Sauco, Drago, Aliso, Chagualo, Aguacatillo, Roble;08/15/2020 12:00:00 AM;Compensacion;Medellín;Piedras Blancas-Matasano;150;0.3
597;Arrayan Eugenio, Navajuelo, Chirlobirlo;1/04/2021 0:00;Siembra Contrato 190-CNT2011-152;Medellín;Piedras Blancas-Matasano;60;0.12
1190;Quimulá, Arboloco, Hayuelo, Aliso;09/22/2021 12:00:00 AM;Obligación Contractual;Medellín;Piedras Blancas-Matasano;500;1
1303;Guayacan Amarillo;8/05/2021 0:00;SALVEMOS LA RURALIDAD;Medellín;Potrera Miserenga;1000;2
591;Guayacán Amarillo, Alcaparro Gigante, Alcaparro Enano, Cámbulo, Gualanday, Chirlobirlo;4/03/2020 0:00;Campaña Adopta un arbol-Grupo Sueños Dorados (Tercera Edad);Medellín;Potrera Miserenga;1700;3.4
653;Guayacán Amarillo, Gualanday;07/27/2020 12:00:00 AM;Siembra-Corredor Verde Potrera Miserengo (proyecto ganador iniciativas Educativo Ambientales);Medellín;Potrera Miserenga;30;0.06
237;bálsamo;11/07/2020 0:00;Cada uno un árbol-Subdirección Administrativa y Financiera;Medellín;Potrerito;1;0.002
702;Quiebrabarrigo, Cedro de Altura, Arrayán, Guayacán de Manizalez, Alcaparro Criollo, Acacia Rosada, Arrayan de Hoja Ancha, Barcino, Caimito, Cascarilla Espinillo Blanco, Ceiba Verde Bonga, Chirimoya, Chocho, Encenillo, Abarco, Arrayan Eugenio, Cojon de Fraile, Guamo Liso, Guayacán Parasiempre, Laurel 1, Mamoncillo, Mestizo, Zanca de Mula, Nadador, carate rojo, Nispero, Algarrobillo, Caoba, Sauco de Monte, Surrumbo, totumo, Barbasco, Balso, Drago, Algarrobo, Algarrobo, Chagualo, Aguacatillo;03/29/2020 12:00:00 AM;SEMBRATON CERRO MEDELLIN;Medellín;Potrerito;315;0.63
705;grosello, MATARATON, NEEM, Quimulá, Guayacán Amarillo, Arrayán, Suribio, Alcaparro Criollo, Acacia Rosada, Barcino, Cacho de Venado, Cascarilla Espinillo Blanco, Chocho Rojo, Urapan, Guamo Liso, Jazmin de Noche, Laurel 1, Zanca de Mula, Ojo de Pava, Chocho, Balso, Algarrobo, Chagualo, Chirlobirlo, Aguacatillo, Nogal Cafetero;06/28/2020 12:00:00 AM;SEMBRATON CERRO MEDELLIN;Medellín;Potrerito;715;1.43
236;acacia amarilla, velero, pera de agua, bálsamo, Arizala, maíz tostado, bola de cañón, grosello, Guayacán Amarillo, Búcaro, Arrayan Eugenio, Gualanday;11/07/2020 0:00;Cada uno un árbol-Subdirección de Sostenibilidad y Gestión Territorial;Medellín;Potrerito;13;0.026
359;Guayacán Amarillo, Arrayan Eugenio, Limón Tahiti, Mango Tommy, Naranja Tangelo, Mandarina Oneco, Aguacate;11/28/2020 12:00:00 AM;Siembra contratista;Medellín;Potrerito;11;0.022
242;Pero de agua, Chagualo;11/07/2020 0:00;Cada uno un árbol;Medellín;Potrerito;2;0.004
267;Guayacan Rosado, Chagualo Amarillo;11/07/2020 0:00;Cada uno un árbol;Medellín;Potrerito;5;0.01
404;Pimiento de Arbol, Drago, Roble;12/13/2020 12:00:00 AM;150-CNT2009-128;Medellín;San José;20;0.04
